"団体ラベル名","件数","平均金額"
"その他","33","258212.757575757576"
"就職・雇用支援をしたい","12","286799.333333333333"
"市民活動を支えたい","30","176398.266666666667"
"女性の支援をしたい","33","201173.696969696970"
"地域産業を応援したい","1","0.00000000000000000000"
"医療を支えたい","25","225589.640000000000"
"自然・環境を守りたい","133","231752.827067669173"
"防災・被災地応援をしたい","26","270926.500000000000"
"社会教育を推進したい","35","67923.885714285714"
"人権を守りたい","48","138925.437500000000"
"子どもに教育を届けたい","261","188361.639846743295"
"芸術・スポーツを応援したい","19","501280.578947368421"
"国際協力をしたい","318","382665.201257861635"
"動物を守りたい","70","3689580.742857142857"
"障がい・介護を支えたい","82","146291.036585365854"
"出産・子育てを支えたい","246","264099.569105691057"
"観光・まちづくりを盛り上げたい","37","261260.621621621622"
